rate_date,currency,rate_to_base
2023-01-01,USD,36.6898
2023-01-01,EUR,39.1337
2023-01-01,UAH,1.0
2023-01-02,USD,36.746
2023-01-02,EUR,39.1733
2023-01-02,UAH,1.0
2023-01-03,USD,36.7732
2023-01-03,EUR,39.107
2023-01-03,UAH,1.0
2023-01-04,USD,36.8173
2023-01-04,EUR,39.1737
2023-01-04,UAH,1.0
2023-01-05,USD,36.8811
2023-01-05,EUR,39.1239
2023-01-05,UAH,1.0
2023-01-06,USD,36.8441
2023-01-06,EUR,39.2207
2023-01-06,UAH,1.0
2023-01-07,USD,36.8648
2023-01-07,EUR,39.1754
2023-01-07,UAH,1.0
2023-01-08,USD,36.9012
2023-01-08,EUR,39.1781
2023-01-08,UAH,1.0
2023-01-09,USD,36.885
2023-01-09,EUR,39.1867
2023-01-09,UAH,1.0
2023-01-10,USD,36.8699
2023-01-10,EUR,39.265
2023-01-10,UAH,1.0
2023-01-11,USD,36.9227
2023-01-11,EUR,39.3369
2023-01-11,UAH,1.0
2023-01-12,USD,36.9272
2023-01-12,EUR,39.2964
2023-01-12,UAH,1.0
2023-01-13,USD,36.8856
2023-01-13,EUR,39.2432
2023-01-13,UAH,1.0
2023-01-14,USD,36.8459
2023-01-14,EUR,39.3234
2023-01-14,UAH,1.0
2023-01-15,USD,36.916
2023-01-15,EUR,39.2784
2023-01-15,UAH,1.0
2023-01-16,USD,36.964
2023-01-16,EUR,39.3233
2023-01-16,UAH,1.0
2023-01-17,USD,36.989
2023-01-17,EUR,39.4079
2023-01-17,UAH,1.0
2023-01-18,USD,36.9544
2023-01-18,EUR,39.3833
2023-01-18,UAH,1.0
2023-01-19,USD,36.9995
2023-01-19,EUR,39.4764
2023-01-19,UAH,1.0
2023-01-20,USD,37.004
2023-01-20,EUR,39.5133
2023-01-20,UAH,1.0
2023-01-21,USD,37.0349
2023-01-21,EUR,39.4928
2023-01-21,UAH,1.0
2023-01-22,USD,36.9868
2023-01-22,EUR,39.4995
2023-01-22,UAH,1.0
2023-01-23,USD,36.9841
2023-01-23,EUR,39.4398
2023-01-23,UAH,1.0
2023-01-24,USD,37.0471
2023-01-24,EUR,39.5234
2023-01-24,UAH,1.0
2023-01-25,USD,37.0129
2023-01-25,EUR,39.5667
2023-01-25,UAH,1.0
2023-01-26,USD,37.0653
2023-01-26,EUR,39.5816
2023-01-26,UAH,1.0
2023-01-27,USD,37.0741
2023-01-27,EUR,39.5724
2023-01-27,UAH,1.0
2023-01-28,USD,37.0356
2023-01-28,EUR,39.546
2023-01-28,UAH,1.0
2023-01-29,USD,36.9778
2023-01-29,EUR,39.6023
2023-01-29,UAH,1.0
2023-01-30,USD,37.0363
2023-01-30,EUR,39.5326
2023-01-30,UAH,1.0
2023-01-31,USD,37.0946
2023-01-31,EUR,39.4932
2023-01-31,UAH,1.0
2023-02-01,USD,37.1461
2023-02-01,EUR,39.4988
2023-02-01,UAH,1.0
2023-02-02,USD,37.2203
2023-02-02,EUR,39.5089
2023-02-02,UAH,1.0
2023-02-03,USD,37.2517
2023-02-03,EUR,39.5256
2023-02-03,UAH,1.0
2023-02-04,USD,37.2567
2023-02-04,EUR,39.5898
2023-02-04,UAH,1.0
2023-02-05,USD,37.2627
2023-02-05,EUR,39.5277
2023-02-05,UAH,1.0
2023-02-06,USD,37.3183
2023-02-06,EUR,39.503
2023-02-06,UAH,1.0
2023-02-07,USD,37.3879
2023-02-07,EUR,39.5444
2023-02-07,UAH,1.0
2023-02-08,USD,37.4592
2023-02-08,EUR,39.5681
2023-02-08,UAH,1.0
2023-02-09,USD,37.4535
2023-02-09,EUR,39.5126
2023-02-09,UAH,1.0
2023-02-10,USD,37.5039
2023-02-10,EUR,39.5642
2023-02-10,UAH,1.0
2023-02-11,USD,37.4974
2023-02-11,EUR,39.6403
2023-02-11,UAH,1.0
2023-02-12,USD,37.4725
2023-02-12,EUR,39.5892
2023-02-12,UAH,1.0
2023-02-13,USD,37.4925
2023-02-13,EUR,39.6809
2023-02-13,UAH,1.0
2023-02-14,USD,37.4909
2023-02-14,EUR,39.6145
2023-02-14,UAH,1.0
2023-02-15,USD,37.4613
2023-02-15,EUR,39.574
2023-02-15,UAH,1.0
2023-02-16,USD,37.4084
