external_id,source,true_person_id,note
WEB-100000,website,P009,
WEB-100001,website,P020,
WEB-100002,website,P021,
WEB-100003,website,P007,
WEB-100004,website,P010,
WEB-100005,website,P002,
WEB-100006,website,P001,
WEB-100007,website,P003,
WEB-100008,website,P022,
WEB-100009,website,P008,
WEB-100010,website,P018,
WEB-100011,website,P007,
WEB-100012,website,P001,
WEB-100013,website,P004,
WEB-100014,website,P001,
WEB-100015,website,P013,
WEB-100016,website,P015,
WEB-100017,website,P011,
WEB-100018,website,P006,
WEB-100019,website,P002,
WEB-100020,website,P019,
WEB-100021,website,P020,
WEB-100022,website,P008,
WEB-100023,website,P007,
WEB-100024,website,P017,
WEB-100025,website,P010,
WEB-100026,website,P005,
WEB-100027,website,P024,
WEB-100028,website,P010,
WEB-100029,website,P008,
WEB-100030,website,P008,
WEB-100031,website,P007,
WEB-100032,website,P016,
WEB-100033,website,P008,
WEB-100034,website,P004,
WEB-100035,website,P009,
WEB-100036,website,P023,
WEB-100037,website,P005,
WEB-100038,website,P007,
WEB-100039,website,P022,
WEB-100040,website,P003,
WEB-100041,website,P016,
WEB-100042,website,P009,
WEB-100043,website,P024,
WEB-100044,website,P010,
WEB-100007,website,,T04 webhook retry duplicate
WEB-199999,website,P007,T19 major gift
WEB-150001,website,P008,T20 lapsed -> reactivated
WEB-150002,website,P008,T20 lapsed -> reactivated
WEB-190500,website,P008,T20 lapsed -> reactivated
PP-5000000,paypal,P019,
PP-5000001,paypal,P003,
PP-5000002,paypal,P015,
PP-5000003,paypal,P015,
PP-5000004,paypal,P011,
PP-5000005,paypal,P012,
PP-5000006,paypal,P012,
PP-5000007,paypal,P001,
PP-5000008,paypal,P007,
PP-5000009,paypal,P018,
PP-5000010,paypal,P016,
PP-5000011,paypal,P004,
PP-5000012,paypal,P017,
PP-5000013,paypal,P009,
PP-5000014,paypal,P022,
PP-5000015,paypal,P021,
PP-5000016,paypal,P006,
PP-5000017,paypal,P009,
PP-5000018,paypal,P013,
PP-5000019,paypal,P001,
PP-5000020,paypal,P018,
PP-5000021,paypal,P021,
PP-5000022,paypal,P009,
PP-5000023,paypal,P013,
PP-5000024,paypal,P015,
PP-5000025,paypal,P022,
PP-5000026,paypal,P019,
PP-5000027,paypal,P015,
PP-5000028,paypal,P013,
PP-5000029,paypal,P011,
PP-5000030,paypal,P014,
PP-5000031,paypal,P015,
PP-5000032,paypal,P020,
PP-5000033,paypal,P011,
PP-5000034,paypal,P010,
PP-5900001,paypal,P001,"T01 cross-channel, no email"
PP-5900010,paypal,P012,T10 original gift
PP-5900011,paypal,P012,T10 refund of PP-5900010
PP-5910000,paypal,P009,T11 subscription Completed
PP-5910001,paypal,P009,T11 subscription Completed
PP-5910002,paypal,P009,T11 subscription Failed
PP-5910003,paypal,P009,T11 subscription Completed
BNK-2026000,bank_transfer,P004,
BNK-2026001,bank_transfer,P019,
BNK-2026002,bank_transfer,P022,
BNK-2026003,bank_transfer,P021,
BNK-2026004,bank_transfer,P002,
BNK-2026005,bank_transfer,P009,
BNK-2026006,bank_transfer,P018,
BNK-2026007,bank_transfer,P015,
BNK-2026008,bank_transfer,P002,
BNK-2026009,bank_transfer,P005,
BNK-2026010,bank_transfer,P009,
BNK-2026011,bank_transfer,P001,
BNK-2026012,bank_transfer,P005,
BNK-2026013,bank_transfer,P016,
BNK-2026014,bank_transfer,P016,
BNK-2026015,bank_transfer,P023,
BNK-2026016,bank_transfer,P021,
BNK-2026017,bank_transfer,P010,
BNK-2026018,bank_transfer,P022,
BNK-2026019,bank_transfer,P019,
BNK-2026020,bank_transfer,P007,
BNK-2026021,bank_transfer,P015,
BNK-2026022,bank_transfer,P004,
BNK-2026023,bank_transfer,P003,
BNK-2026024,bank_transfer,P002,
BNK-2026025,bank_transfer,P021,
BNK-2026026,bank_transfer,P002,
BNK-2026027,bank_transfer,P004,
BNK-2026028,bank_transfer,P023,
BNK-2026029,bank_transfer,P023,
BNK-2099001,bank_transfer,P001,T01 cyrillic + patronymic
BNK-2099010,bank_transfer,P002,T05 similar name A
BNK-2099011,bank_transfer,P003,T05 similar name B — must NOT merge
BNK-2099020,bank_transfer,P023,T15 organization donor
BNK-2099030,bank_transfer,,T17 broken amount — must be rejected
CHK-001,check,P018,
CHK-002,check,P021,
CHK-003,check,P017,T13 unparseable date
CHK-004,check,,T14 anonymous
CHK-005,check,P020,
CHK-006,check,P001,"T01/T07 initials only, no contacts"
CHK-007,check,P024,T15 org
